anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,suspected_driver_kpi,driver_direction,root_cause_confidence,confidence_tier,is_externally_driven,external_driver_type,actionability_score,actionability_label,escalation_suppressed,rca_narrative,revenue_at_risk,margin_impact,customer_impact,monthly_shortfall,impact_pct_of_plan,impact_narrative,priority_score,priority_band,priority_rank,layer4_priority_flag,immediate_action,short_term_fix,recommended_owner,effort_level,llm_enhanced,urgency_label,delivery_channel,delivery_status,sent_at,message_id,recipient,alert_subject
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,n_orders,DOWN,0.5,LOW,False,none,1.0,HIGH,False,[MEDIUM] total_revenue_usd moved DOWN -36.5% on 2024-03-15. Chain: total_revenue_usd -> n_orders. Suspected driver: n_orders. Causal confidence: 50%. No external suppression. Fully actionable.,30381.61,15093.04,381,130206.9,37.0471,"Revenue is tracking $30,382 below forecast for the week. At current trajectory, this represents a $130,207 monthly shortfall — 37.0% below plan. Approximately 381 customers experienced degraded revenue.",0.83429,HIGH,49,INVESTIGATE,Check payment gateway health and checkout error logs; verify all promotional codes are active,Activate win-back campaign for 30-day lapsed customers; A/B test checkout friction points,Revenue Operations / Product,H,False,Daily,Email,QUEUED,2024-03-18 08:00:00,MSG-INV-0004,ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) DOWN -36.5% — Priority #49 | 2024-03-15
ANO-20240417-REV,2024-04-17,total_revenue_usd,1,MEDIUM,UP,6.6,1.7937,sessions,UP,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[MEDIUM] total_revenue_usd moved UP +6.6% on 2024-04-17. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-6107.04,-3033.87,77,-26173.03,-7.4469,"Revenue surged +6.6% above forecast. Weekly revenue uplift: +$6,107 (+$26,173 monthly, 7.4% above plan). Approximately 77 customers contributed to the uplift.",0.870099,HIGH,30,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-04-17 09:00:00,MSG-SUP-0028,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +6.6% — Positive change, no alert needed | 2024-04-17"
ANO-20240618-REV,2024-06-18,total_revenue_usd,1,MEDIUM,UP,16.8,2.1331,sessions,DOWN,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[MEDIUM] total_revenue_usd moved UP +16.8% on 2024-06-18. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-14636.05,-7270.93,184,-62725.93,-17.8471,"Revenue surged +16.8% above forecast. Weekly revenue uplift: +$14,636 (+$62,726 monthly, 17.8% above plan). Approximately 184 customers contributed to the uplift.",0.894173,HIGH,20,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-06-18 09:00:00,MSG-SUP-0019,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +16.8% — Positive change, no alert needed | 2024-06-18"
ANO-20240622-REV,2024-06-22,total_revenue_usd,1,MEDIUM,UP,6.94,1.1521,avg_order_value_usd,UP,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[MEDIUM] total_revenue_usd moved UP +6.9% on 2024-06-22. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-6566.59,-3262.16,82,-28142.53,-8.0073,"Revenue surged +6.9% above forecast. Weekly revenue uplift: +$6,567 (+$28,143 monthly, 8.0% above plan). Approximately 82 customers contributed to the uplift.",0.872098,HIGH,28,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-06-22 09:00:00,MSG-SUP-0026,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +6.9% — Positive change, no alert needed | 2024-06-22"
ANO-20240723-REV,2024-07-23,total_revenue_usd,1,MEDIUM,UP,4.21,1.4968,avg_order_value_usd,UP,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[MEDIUM] total_revenue_usd moved UP +4.2% on 2024-07-23. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-4571.48,-2271.03,57,-19592.06,-5.5744,"Revenue surged +4.2% above forecast. Weekly revenue uplift: +$4,571 (+$19,592 monthly, 5.6% above plan). Approximately 57 customers contributed to the uplift.",0.862123,HIGH,32,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-07-23 09:00:00,MSG-SUP-0030,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +4.2% — Positive change, no alert needed | 2024-07-23"
ANO-20240820-REV,2024-08-20,total_revenue_usd,1,HIGH,UP,49.06,2.267,sessions,UP,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[HIGH] total_revenue_usd moved UP +49.1% on 2024-08-20. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-52189.58,-25926.84,654,-223669.63,-63.6396,"Revenue surged +49.1% above forecast. Weekly revenue uplift: +$52,190 (+$223,670 monthly, 63.6% above plan). Approximately 654 customers contributed to the uplift.",0.929192,HIGH,6,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-08-20 09:00:00,MSG-SUP-0006,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +49.1% — Positive change, no alert needed | 2024-08-20"
ANO-20241129-REV,2024-11-29,total_revenue_usd,1,HIGH,UP,223.83,2.2671,avg_order_value_usd,UP,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[HIGH] total_revenue_usd moved UP +223.8% on 2024-11-29. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-319977.07,-158958.85,4012,-1371330.3,-390.1776,"Revenue surged +223.8% above forecast. Weekly revenue uplift: +$319,977 (+$1,371,330 monthly, 390.2% above plan). Approximately 4,012 customers contributed to the uplift.",0.979138,HIGH,1,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-11-29 09:00:00,MSG-SUP-0001,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +223.8% — Positive change, no alert needed | 2024-11-29"
ANO-20241202-REV,2024-12-02,total_revenue_usd,1,HIGH,UP,44.68,0.5254,total_revenue_usd,UP,,UNAVAILABLE,False,none,1.0,SUPPRESSED,True,[HIGH] total_revenue_usd moved UP +44.7% on 2024-12-02. Root: total_revenue_usd (no deeper driver above watch threshold). Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-74532.15,-37026.23,935,-319423.5,-90.8839,"Revenue surged +44.7% above forecast. Weekly revenue uplift: +$74,532 (+$319,424 monthly, 90.9% above plan). Approximately 935 customers contributed to the uplift.",0.919007,HIGH,10,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2024-12-02 09:00:00,MSG-SUP-0010,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +44.7% — Positive change, no alert needed | 2024-12-02"
ANO-20251128-REV,2025-11-28,total_revenue_usd,1,HIGH,UP,246.63,2.2677,avg_order_value_usd,UP,0.9,HIGH,False,none,1.0,SUPPRESSED,True,[HIGH] total_revenue_usd moved UP +246.6% on 2025-11-28. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-307164.41,-152593.75,3851,-1316418.9,-374.554,"Revenue surged +246.6% above forecast. Weekly revenue uplift: +$307,164 (+$1,316,419 monthly, 374.6% above plan). Approximately 3,851 customers contributed to the uplift.",0.978012,HIGH,2,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2025-11-28 09:00:00,MSG-SUP-0002,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +246.6% — Positive change, no alert needed | 2025-11-28"
ANO-20251201-REV,2025-12-01,total_revenue_usd,1,MEDIUM,UP,52.27,0.5619,total_revenue_usd,UP,,UNAVAILABLE,False,none,1.0,SUPPRESSED,True,[MEDIUM] total_revenue_usd moved UP +52.3% on 2025-12-01. Root: total_revenue_usd (no deeper driver above watch threshold). Positive/expected direction change -- not an issue. Escalation SUPPRESSED.,-77076.07,-38290.0,966,-330326.01,-93.986,"Revenue surged +52.3% above forecast. Weekly revenue uplift: +$77,076 (+$330,326 monthly, 94.0% above plan). Approximately 966 customers contributed to the uplift.",0.859931,HIGH,33,SUPPRESSED,Confirm inventory availability to fulfil the demand surge; validate attribution and data integrity,Analyse customer segment and channel mix driving the surge; project 30-day forward demand,Revenue Operations,L,False,Suppressed,,SUPPRESSED,2025-12-01 09:00:00,MSG-SUP-0031,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +52.3% — Positive change, no alert needed | 2025-12-01"
