anomaly_id,date,kpi,layer4_priority_flag,urgency_label,delivery_channel,audience,recipient,alert_subject,message_id,sent_at,delivery_status,delivery_note
ANO-20241129-REV,2024-11-29,total_revenue_usd,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Total Revenue (USD) UP +223.8% — Priority #1 | 2024-11-29,MSG-ESC-0001,2024-11-29 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #1. Sent at 2024-11-29 09:30.
ANO-20251128-REV,2025-11-28,total_revenue_usd,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Total Revenue (USD) UP +246.6% — Priority #2 | 2025-11-28,MSG-ESC-0002,2025-11-28 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #2. Sent at 2025-11-28 09:30.
ANO-20241202-REV,2024-12-02,total_revenue_usd,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Total Revenue (USD) UP +44.7% — Priority #3 | 2024-12-02,MSG-ESC-0003,2024-12-02 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #3. Sent at 2024-12-02 09:30.
ANO-20240820-REV,2024-08-20,total_revenue_usd,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Total Revenue (USD) UP +49.1% — Priority #4 | 2024-08-20,MSG-ESC-0004,2024-08-20 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #4. Sent at 2024-08-20 09:30.
ANO-20240820-ORD,2024-08-20,n_orders,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Order Volume UP +50.9% — Priority #5 | 2024-08-20,MSG-ESC-0005,2024-08-20 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #5. Sent at 2024-08-20 09:30.
ANO-20240111-ROAS,2024-01-11,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +304.4% — Priority #6 | 2024-01-11,MSG-ESC-0006,2024-01-11 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #6. Sent at 2024-01-11 09:30.
ANO-20251128-ORD,2025-11-28,n_orders,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Order Volume UP +42.2% — Priority #7 | 2025-11-28,MSG-ESC-0007,2025-11-28 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #7. Sent at 2025-11-28 09:30.
ANO-20241129-ORD,2024-11-29,n_orders,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Order Volume UP +37.3% — Priority #8 | 2024-11-29,MSG-ESC-0008,2024-11-29 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #8. Sent at 2024-11-29 09:30.
ANO-20250525-ROAS,2025-05-25,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +263.9% — Priority #9 | 2025-05-25,MSG-ESC-0009,2025-05-25 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #9. Sent at 2025-05-25 09:30.
ANO-20241031-ROAS,2024-10-31,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +234.6% — Priority #10 | 2024-10-31,MSG-INV-0001,2024-11-01 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-11-01 at 08:00.
ANO-20240428-ROAS,2024-04-28,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +197.7% — Priority #11 | 2024-04-28,MSG-INV-0002,2024-04-29 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-04-29 at 08:00.
