anomaly_id,date,kpi,layer4_priority_flag,urgency_label,delivery_channel,audience,recipient,alert_subject,message_id,sent_at,delivery_status,delivery_note
ANO-20241129-REV,2024-11-29,total_revenue_usd,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +223.8% — Positive change, no alert needed | 2024-11-29",MSG-SUP-0001,2024-11-29 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on total_revenue_usd is the expected/positive direction -- not an issue, no escalation needed"
ANO-20251128-REV,2025-11-28,total_revenue_usd,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +246.6% — Positive change, no alert needed | 2025-11-28",MSG-SUP-0002,2025-11-28 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on total_revenue_usd is the expected/positive direction -- not an issue, no escalation needed"
ANO-20240111-ROAS,2024-01-11,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +304.4% — Positive change, no alert needed | 2024-01-11",MSG-SUP-0003,2024-01-11 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
ANO-20250525-ROAS,2025-05-25,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +263.9% — Positive change, no alert needed | 2025-05-25",MSG-SUP-0004,2025-05-25 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
ANO-20241031-ROAS,2024-10-31,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +234.6% — Positive change, no alert needed | 2024-10-31",MSG-SUP-0005,2024-10-31 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
ANO-20240820-REV,2024-08-20,total_revenue_usd,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +49.1% — Positive change, no alert needed | 2024-08-20",MSG-SUP-0006,2024-08-20 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on total_revenue_usd is the expected/positive direction -- not an issue, no escalation needed"
ANO-20240820-ORD,2024-08-20,n_orders,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Order Volume UP +50.9% — Positive change, no alert needed | 2024-08-20",MSG-SUP-0007,2024-08-20 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on n_orders is the expected/positive direction -- not an issue, no escalation needed"
ANO-20240428-ROAS,2024-04-28,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +197.7% — Positive change, no alert needed | 2024-04-28",MSG-SUP-0008,2024-04-28 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
ANO-20251224-ROAS,2025-12-24,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +169.9% — Positive change, no alert needed | 2025-12-24",MSG-SUP-0009,2025-12-24 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
ANO-20241202-REV,2024-12-02,total_revenue_usd,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Total Revenue (USD) UP +44.7% — Positive change, no alert needed | 2024-12-02",MSG-SUP-0010,2024-12-02 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on total_revenue_usd is the expected/positive direction -- not an issue, no escalation needed"
ANO-20241024-ROAS,2024-10-24,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +114.8% — Positive change, no alert needed | 2024-10-24",MSG-SUP-0011,2024-10-24 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
ANO-20250210-ORD,2025-02-10,n_orders,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Order Volume DOWN -34.3% — Priority #12 | 2025-02-10,MSG-INV-0001,2025-02-11 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-02-11 at 08:00.
ANO-20240227-ROAS,2024-02-27,avg_roas,SUPPRESSED,Suppressed,,,audit-log@company.com,"[SUPPRESSED] Avg. ROAS UP +96.9% — Positive change, no alert needed | 2024-02-27",MSG-SUP-0012,2024-02-27 09:00:00,SUPPRESSED,"Logged to audit log only. No notification sent. External driver: none. Suppressed: UP change on avg_roas is the expected/positive direction -- not an issue, no escalation needed"
